report_date,surprise_pct,volatility_change
2010-02-03,0.1398,-0.008110458942019996
2010-05-12,0.0865,-0.018070172548788482
2010-08-11,0.0319,-9.565788280797849e-06
2010-11-10,0.06,0.0014155839169807116
2011-02-09,0.0643,-0.003345941568274974
2011-05-11,0.1368,-0.0003935389104331123
2011-08-10,0.0475,-0.006493271000400071
2011-11-09,0.0911999999999999,-0.01029623839818783
2012-02-08,0.0827,0.0004907998761975972
2012-05-09,0.0281,-0.004226697026223967
2012-08-15,0.0338,-0.014631111527100652
2012-11-13,0.0434,-0.003055948279077495
2013-02-13,0.0643,0.004931129166625735
2013-05-15,0.0373,0.0025083508231569414
2013-08-14,0.0149,-0.001965323834618635
2013-11-13,0.0493,-0.002330687431305989
2014-02-12,0.0255,-0.004312034775715749
2014-05-14,0.0644,0.0002012747517216645
2014-08-13,0.0421,-0.0024624581489083378
2014-11-12,0.0288,-0.00011347005438400951
2015-02-11,0.0306999999999999,-0.010598528905451413
2015-05-13,0.0253,0.0012940973734307318
2015-08-12,0.048,0.015612038161775279
2015-11-12,0.0473,0.0053844834334201
2016-02-10,0.0596,-0.005973751292517943
2016-05-18,0.0339,-0.0036621420779895317
2016-08-17,0.0501,-0.0003242362047299729
2016-11-16,0.0302999999999999,-0.0037036377808282285
2017-02-15,0.0149,-0.003142704774880139
2017-05-17,0.0379,-0.0028372931294548967
2017-08-16,0.0063,0.002729822569019479
2017-11-15,0.0163999999999999,0.003748405250412019
2018-02-14,0.0663,-0.012309702413061719
2018-05-16,0.0131,-0.0033217911883334826
2018-08-15,0.0195,0.0013611776557888458
2018-11-14,0.0457,-0.002428342223701512
2019-02-13,0.0108,-0.0007432015235912057
2019-05-15,0.0073,-0.003369333192005601
2019-08-14,0.0175,-0.003603572183108323
2019-11-13,0.0404,-0.0023346245000607562
2020-02-12,0.0148,0.004424426240185131
2020-05-13,0.1422,-0.006194370693902735
2020-08-12,0.0846,-0.003109993347005939
2020-11-12,0.0791,0.006964789467976041
2021-02-09,0.0449,-0.006920167933790302
2021-05-19,0.0121999999999999,-0.006743401208039139
2021-08-18,0.0182,0.0025439181733616463
2021-11-17,0.0197,0.007351511058221702
2022-02-16,0.0391,0.0059944648527497126
2022-05-18,0.0086,-0.010376859187602588
2022-08-17,0.017,-0.0010955808562431255
2022-11-16,0.0279999999999999,-0.005263657940941576
2023-02-15,0.0291,-0.005560867914623485
2023-05-17,0.0286,0.004474429804361554
2023-08-16,0.0766,-0.00047295571797782623
2023-11-15,0.0768,-0.003622118582897027
2024-02-14,0.0391,8.65811217486646e-05
2024-05-15,0.0673,0.00305854036598353
2024-08-14,0.0259,-0.007875756432480773
2024-11-13,0.0452,-0.0030420204138754646
