report_date,surprise_pct,volatility_change
2010-02-17,0.161,-0.009065293651680406
2010-05-13,0.089,-0.000834088000408597
2010-08-12,-0.7199,-0.0020198454659686935
2010-11-11,0.0602,0.015114799306489244
2011-02-16,0.4534,0.015047698833214353
2011-05-12,0.14,-0.006328236506983449
2011-08-11,-0.0025,-0.007604392428089968
2011-11-10,0.1166,-0.00802214338940458
2012-02-15,0.0043,-0.0064756527357852384
2012-05-11,0.0467,0.006464209986743595
2012-08-09,0.5549000000000001,0.00011088980008484156
2012-11-08,0.1167,-0.005123312256504205
2013-02-13,0.1817,0.0013995669873918329
2013-05-09,0.337,0.0071950023147852
2013-08-08,0.2439,0.006475201284325223
2013-11-07,0.0252,0.006075414809708085
2014-02-12,0.3259,0.0056204044001443
2014-05-08,0.218,0.0053884426912410785
2014-08-07,0.091,-0.005449608929169047
2014-11-06,0.0877999999999999,-0.0037210575638619466
2015-02-11,0.2261,-0.012010628701561426
2015-05-07,-0.0732,-0.0049039292804010735
2015-08-06,0.6790999999999999,0.007371262375414871
2015-11-05,0.7512000000000001,-0.0026603341131427472
2016-02-17,0.1002,-0.014943368737654311
2016-05-12,0.0384,-0.00261535483223768
2016-08-11,0.0704,0.0003093919370109506
2016-11-10,0.4714,0.0061369712508519345
2017-02-09,0.196,0.01784958916978511
2017-05-09,0.1986,0.02016293548248336
2017-08-10,0.3182999999999999,0.017420783438828247
2017-11-09,0.4082,-0.0011197835720462082
2018-02-08,0.3436,-0.018531367935049385
2018-05-10,0.246,-3.1070455529129404e-05
2018-08-16,0.0619,0.0029943339259845877
2018-11-15,-0.0421999999999999,0.018232350045011905
2019-02-14,0.0647,-0.00792584612435582
2019-05-16,0.0868,-0.008187159336808823
2019-08-15,0.0828,0.003863109526951021
2019-11-14,0.13,0.009853718891838729
2020-02-13,0.1323,0.028248831397175173
2020-05-21,0.0675,-0.002882730171405761
2020-08-19,0.1077999999999999,-0.010198631807346158
2020-11-18,0.131,-0.024979523555029845
2021-02-24,0.1033,0.017975543334456584
2021-05-26,0.1146,-0.0018606389389399965
2021-08-18,0.025,0.010174101708077862
2021-11-17,0.0575,-0.008709943599228442
2022-02-16,0.0798,-0.017058780875772735
2022-05-25,0.0515,-0.012974871222363467
2022-08-24,-0.5937,0.005947761371357337
2022-11-16,-0.1639999999999999,-0.01708721238384095
2023-02-22,0.0875,-0.010165187672295056
2023-05-24,0.1857,0.011066839692221875
2023-08-23,0.294,-0.018462471275230794
2023-11-21,0.192,0.004460372865504424
2024-02-21,0.113,-0.005684673534821549
2024-05-22,0.0953,0.016420730256152486
2024-08-28,0.0602,0.018912911005110274
2024-11-20,0.0857,-0.0007627688120672368
