report_date,surprise_pct,volatility_change
2010-01-28,0.18156,0.004387094393154954
2010-04-22,0.08911,0.010951901934193996
2010-07-22,-0.16368,-0.003889990298026842
2010-10-21,0.07477,-0.012660215694155102
2011-01-27,0.03025,-0.003796377922839222
2011-04-26,-0.2731,0.00020990175483535586
2011-07-26,0.1728,0.016267411615348573
2011-10-25,-0.42691,-0.0025267301355683287
2012-01-31,1.26879,-0.005778568472723022
2012-04-26,2.93203,2.092215000264533e-05
2012-07-26,5.55201,-0.009703704595404357
2012-10-25,-1.91324,-0.0008215480513656219
2013-01-29,-0.24599,-0.0023677321392696245
2013-04-25,1.30769,-0.0019041039289194317
2013-07-25,-1.3732,-0.0022955838156940144
2013-10-24,-0.02308,-0.008924244107370116
2014-01-30,-0.22943,0.004028551595776735
2014-04-24,0.00851,-0.0018671146285312197
2014-07-24,-0.85478,-0.005541997344647186
2014-10-23,-0.27587,6.459689530412781e-05
2015-01-29,1.68159,-0.008549432985372644
2015-04-23,0.01969,-0.004570157011644921
2015-07-23,2.37212,-0.004447012926048389
2015-10-22,2.25359,-0.006161836174874815
2016-01-28,-0.36361,0.006714240384408817
2016-04-28,0.8142900000000001,0.0070929297703613454
2016-07-28,0.6065,0.0015913967546883952
2016-10-27,-0.33255,0.01131821974215808
2017-02-02,0.14339,-0.00415927166253271
2017-04-27,0.3645,0.001492957080631149
2017-07-27,-0.71809,0.007153754743394011
2017-10-26,16.59729,-0.0005862102309930721
2018-02-01,0.17334,0.01974192238142415
2018-04-26,1.5966200000000002,-0.01646837598167955
2018-07-26,0.99839,0.0014496240609296902
2018-10-25,0.82978,0.008108583950384461
2019-01-31,0.06336,-0.009791345170907354
2019-04-25,0.50113,0.004340341398838557
2019-07-25,-0.06272,0.009630250755506747
2019-10-24,-0.08428,-0.004531632063455619
2020-01-30,0.60614,0.00018554560182637743
2020-04-30,-0.1982999999999999,-0.008402578987514932
2020-07-30,6.052670000000001,-0.01635521007653429
2020-10-29,0.66949,0.01667492650049787
2021-02-02,0.94846,-0.01636104780822364
2021-04-29,0.65483,0.0037750703781085377
2021-07-29,0.2291,-0.005100244848048112
2021-10-28,-0.31385,0.0018057953963019
2022-02-03,0.62481,-0.011961410794563435
2022-04-28,-0.11698,0.004908096606409899
2022-07-28,0.24897,-0.011764437991329812
2022-10-27,-0.21077,0.018106373314832447
2023-02-02,0.42564,-0.002549431793986142
2023-04-27,0.46365,-0.001478917482701396
2023-08-03,0.8573000000000001,-0.001389548136731868
2023-10-26,0.60854,-0.008679450261192337
2024-02-01,0.24553,0.002199713870898656
2024-04-30,0.17912,-0.006973649143612723
2024-08-01,0.2258399999999999,0.005026795885751469
2024-10-31,0.25166,0.006357397417360239
